out_Qdhw,out_QradD,out_QradN,solar
0,2979.672386,0,1.00E-08
0,13960.63081,0,1.00E-08
0,13947.94721,0,1.00E-08
0,13935.26362,0,1.00E-08
0,13922.58003,0,1.00E-08
641.8235644,13909.89644,0,1.00E-08
355.491,8684.558724,0,1.00E-08
322.9697778,9122.034722,0,1.00E-08
225.4061111,8167.312335,0,1.00E-08
322.9697778,7544.948026,0,1.00E-08
550.6183333,8840.143736,0,11.05010605
322.9697778,7533.980374,0,34.4463501
355.491,8375.903281,0,377.6023865
778.2668889,8067.625766,0,189.3759918
290.4485556,7487.698341,0,310.1231995
485.5758889,9022.822723,0,562.0367432
355.491,6391.788313,0,63.26994324
4745.856,5948.982399,0,48.76144028
225.4061111,7159.856417,0,1.00E-08
485.5758889,9054.029637,0,1.00E-08
322.9697778,9178.962866,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,9335.075187,0,1.00E-08
0,13681.52497,0,1.00E-08
0,13674.77859,0,1.00E-08
403.0327279,13699.54179,0,1.00E-08
0,6235.895487,0,1.00E-08
0,9961.571374,0,1.00E-08
0,9641.905195,0,1.00E-08
0,8641.829623,0,1.00E-08
0,8255.300766,0,1.00E-08
0,9146.698866,0,1.00E-08
0,8895.672057,0,1.00E-08
0,8918.281155,0,2.507987022
0,9523.298873,0,31.32617569
836.9508977,10221.48011,0,44.05539322
95.32122222,7744.822741,0,77.98419952
355.491,8321.397739,0,55.88552094
518.0971111,7009.797532,0,59.29259491
355.491,5820.367938,0,50.15974045
160.3636667,8497.276534,0,14.81131935
355.491,8752.987957,0,0.047320519
485.5758889,7040.067022,0,1.00E-08
0,0,0,1.00E-08
0,0,0,1.00E-08
0,3138.421006,0,1.00E-08
0,13820.04851,0,1.00E-08
0,13721.76325,0,1.00E-08
0,15478.24214,0,1.00E-08
625.9431198,11691.51243,0,1.00E-08
0,6894.100878,0,1.00E-08
0,8366.907224,0,1.00E-08
0,8407.439537,0,1.00E-08
0,8443.225873,0,1.00E-08
0,8218.429466,0,1.00E-08
0,8263.274651,0,1.00E-08
0,8333.97842,0,1.00E-08
0,8506.986169,0,3.312435627
0,8574.640516,0,20.67906189
1487.375342,9190.287149,0,33.12435532
518.0971111,7785.773767,0,40.55367661
192.8848889,8713.693929,0,44.38663483
648.182,9207.483948,0,36.95731735
127.8424444,9037.767412,0,30.04852295
518.0971111,8179.87763,0,9.98462677
160.3636667,9149.399622,0,0.14196153
518.0971111,8480.392901,0,1.00E-08
0,0,0,1.00E-08
0,2103.06411,2336.249341,1.00E-08
0,11608.39085,0,1.00E-08
0,11607.40663,0,1.00E-08
0,11596.68581,0,1.00E-08
0,11571.42265,0,1.00E-08
853.5916754,11557.30003,0,1.00E-08
0,8815.985491,2701.953297,1.00E-08
0,10968.96656,457.3166911,1.00E-08
0,11272.33582,0,1.00E-08
0,11110.9311,0,1.00E-08
0,10099.50961,977.2783088,1.00E-08
0,10956.64376,59.92133004,1.00E-08
0,10740.57688,223.017312,1.00E-08
0,8711.713399,791.923156,3.690999746
0,7058.582737,0,25.93163872
1292.248009,4796.812026,0,56.64264679
745.7456667,4728.486206,0,56.54800797
127.8424444,5806.026466,0,61.23273849
518.0971111,4897.77796,0,52.57308578
290.4485556,5462.902377,0,42.96702194
518.0971111,5363.532906,0,13.67562675
355.491,8151.242916,0,0.189282045
485.5758889,11424.99306,0,1.00E-08
